time	V(n001)
1.512046607097924e-09	5.120466e-01
1.517347946383639e-09	5.173480e-01
1.522649285669353e-09	5.226493e-01
1.527950624955067e-09	5.279506e-01
1.533251964240781e-09	5.332520e-01
1.538553303526495e-09	5.385533e-01
1.543854642812209e-09	5.438547e-01
1.549155982097923e-09	5.491560e-01
1.554457321383638e-09	5.544573e-01
1.559758660669351e-09	5.597587e-01
1.565059999955066e-09	5.650600e-01
1.570919374955065e-09	5.709194e-01
1.576778749955065e-09	5.767788e-01
1.582638124955065e-09	5.826381e-01
1.588497499955065e-09	5.884975e-01
1.594356874955065e-09	5.943569e-01
1.600216249955065e-09	6.002163e-01
1.606075624955064e-09	6.060756e-01
1.610818928526493e-09	6.108189e-01
1.615562232097921e-09	6.155623e-01
1.620305535669350e-09	6.203056e-01
1.625048839240778e-09	6.250489e-01
1.629792142812206e-09	6.297922e-01
1.634535446383635e-09	6.345355e-01
1.639278749955063e-09	6.392788e-01
1.645417142812206e-09	6.454172e-01
1.651555535669349e-09	6.515556e-01
1.657693928526491e-09	6.576939e-01
1.663832321383634e-09	6.638323e-01
1.669970714240777e-09	6.699707e-01
1.676109107097919e-09	6.761091e-01
1.682247499955062e-09	6.822475e-01
1.692292142812205e-09	6.922922e-01
1.702336785669347e-09	7.023368e-01
1.712381428526490e-09	7.123814e-01
1.722426071383632e-09	7.224261e-01
1.732470714240775e-09	7.324707e-01
1.742515357097917e-09	7.425154e-01
1.752559999955060e-09	7.525600e-01
1.782693928526489e-09	7.826939e-01
1.812827857097918e-09	8.128279e-01
1.842961785669347e-09	8.429618e-01
1.873095714240777e-09	8.730957e-01
1.903229642812206e-09	9.032297e-01
1.933363571383635e-09	9.333636e-01
1.963497499955064e-09	9.634975e-01
1.965450624955064e-09	9.654506e-01
1.998653749955067e-09	9.986538e-01
2.000000000000000e-09	1.000000e+00
